"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.r_int","circ1.r_load.v","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.r_load.percentage","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
0,83.33333611113815,99.99999833333376,99.99999833333376,-16.66666388886186,-1.666666222236228e-06,-1.666666222236228e-06,0,0,0.166666672221943,500,83.33333611097149,0.1666666388886185,1.666666222236228e-08,1.666666222236228e-08,1e-09,1000000000,1000000000,1.666666388886186e-10,16.66666222236228,16.66666222236228,75,0.95,100,3,1,1,1,1,2,1,1,1,1,1,1,-0.1666666388886185,-1.666666222236228e-08,-1.666666222236228e-08,0.1666666388886185,1.666666222236228e-08,1.666666222236228e-08,-83.33333611097149,-83.33333611097149,-83.33333611097149,-0.1666666388886185,-1.666666222236228e-08,-1.666666222236228e-08,1.666666388886186e-10,16.66666222236228,16.66666222236228,-0.166666672221943,-83.33333611097149,0.166666672221943,0,-0.1666666388886185,-1.666666222236228e-08,-1.666666222236228e-08,0,0,0,0.1666666388886185,1.666666222236228e-08,1.666666222236228e-08,1.666666388886186e-10,16.66666222236228,16.66666222236228
1.004082150757313e-10,83.33333611113815,99.99999833333379,99.99999833333379,-16.66666388886186,-1.66666622223623e-06,-1.66666622223623e-06,0,0,0.166666672221943,500,83.33333611097149,0.1666666388886185,1.66666622223623e-08,1.66666622223623e-08,1e-09,1000000000,1000000000,1.666666388886186e-10,16.6666622223623,16.6666622223623,75,0.95,100,3,1,1,1,1,2,1,1,1,1,1,1,-0.1666666388886185,-1.66666622223623e-08,-1.66666622223623e-08,0.1666666388886185,1.66666622223623e-08,1.66666622223623e-08,-83.33333611097149,-83.33333611097149,-83.33333611097149,-0.1666666388886185,-1.66666622223623e-08,-1.66666622223623e-08,1.666666388886186e-10,16.6666622223623,16.6666622223623,-0.166666672221943,-83.33333611097149,0.166666672221943,0,-0.1666666388886185,-1.66666622223623e-08,-1.66666622223623e-08,0,0,0,0.1666666388886185,1.66666622223623e-08,1.66666622223623e-08,1.666666388886186e-10,16.6666622223623,16.6666622223623
1.004082150757313e-10,69.2307692308639,69.2307692308639,69.2307692308639,-30.7692307691361,-30.76923076913609,-30.76923076913609,0,0,0.9230769230740828,75,69.23076923055621,0.307692307691361,0.3076923076913609,0.3076923076913609,1e-09,1e-09,1e-09,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0.307692307691361,0.3076923076913609,0.3076923076913609,-69.23076923055621,-69.23076923055621,-69.23076923055621,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,-0.9230769230740828,-69.23076923055621,0.9230769230740828,0,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0,0,0,0.307692307691361,0.3076923076913609,0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10
0.1,69.23076923086391,69.23076923086391,69.23076923086391,-30.76923076913609,-30.7692307691361,-30.7692307691361,5.551115123125783e-17,0,0.9230769230740828,75,69.23076923055622,0.3076923076913609,0.307692307691361,0.307692307691361,1e-09,1e-09,1e-09,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0.3076923076913609,0.307692307691361,0.307692307691361,-69.23076923055622,-69.23076923055622,-69.23076923055622,-0.3076923076913609,-0.307692307691361,-0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,-0.9230769230740828,-69.23076923055622,0.9230769230740828,0,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0,0,0,0.3076923076913609,0.307692307691361,0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10
0.2,69.2307692308639,69.2307692308639,69.2307692308639,-30.7692307691361,-30.76923076913609,-30.76923076913609,5.551115123125783e-17,0,0.9230769230740827,75,69.23076923055621,0.307692307691361,0.3076923076913609,0.3076923076913609,1e-09,1e-09,1e-09,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0.307692307691361,0.3076923076913609,0.3076923076913609,-69.23076923055621,-69.23076923055621,-69.23076923055621,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,-0.9230769230740827,-69.23076923055621,0.9230769230740827,0,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0,0,0,0.307692307691361,0.3076923076913609,0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10
0.3,69.23076923086391,69.23076923086391,69.23076923086391,-30.76923076913609,-30.7692307691361,-30.7692307691361,5.551115123125783e-17,0,0.9230769230740828,75,69.23076923055622,0.3076923076913609,0.307692307691361,0.307692307691361,1e-09,1e-09,1e-09,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0.3076923076913609,0.307692307691361,0.307692307691361,-69.23076923055622,-69.23076923055622,-69.23076923055622,-0.3076923076913609,-0.307692307691361,-0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,-0.9230769230740828,-69.23076923055622,0.9230769230740828,0,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0,0,0,0.3076923076913609,0.307692307691361,0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10
0.4,69.2307692308639,69.2307692308639,69.2307692308639,-30.7692307691361,-30.76923076913609,-30.76923076913609,5.551115123125783e-17,0,0.9230769230740827,75,69.23076923055621,0.307692307691361,0.3076923076913609,0.3076923076913609,1e-09,1e-09,1e-09,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0.307692307691361,0.3076923076913609,0.3076923076913609,-69.23076923055621,-69.23076923055621,-69.23076923055621,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,-0.9230769230740827,-69.23076923055621,0.9230769230740827,0,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0,0,0,0.307692307691361,0.3076923076913609,0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10
0.5,69.23076923086391,69.23076923086391,69.23076923086391,-30.76923076913609,-30.7692307691361,-30.7692307691361,5.551115123125783e-17,0,0.9230769230740828,75,69.23076923055622,0.3076923076913609,0.307692307691361,0.307692307691361,1e-09,1e-09,1e-09,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0.3076923076913609,0.307692307691361,0.307692307691361,-69.23076923055622,-69.23076923055622,-69.23076923055622,-0.3076923076913609,-0.307692307691361,-0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,-0.9230769230740828,-69.23076923055622,0.9230769230740828,0,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0,0,0,0.3076923076913609,0.307692307691361,0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10
0.6,69.2307692308639,69.2307692308639,69.2307692308639,-30.7692307691361,-30.76923076913609,-30.76923076913609,5.551115123125783e-17,0,0.9230769230740827,75,69.23076923055621,0.307692307691361,0.3076923076913609,0.3076923076913609,1e-09,1e-09,1e-09,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0.307692307691361,0.3076923076913609,0.3076923076913609,-69.23076923055621,-69.23076923055621,-69.23076923055621,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10,-0.9230769230740827,-69.23076923055621,0.9230769230740827,0,-0.307692307691361,-0.3076923076913609,-0.3076923076913609,0,0,0,0.307692307691361,0.3076923076913609,0.3076923076913609,3.07692307691361e-10,3.076923076913609e-10,3.076923076913609e-10
0.7,69.23076923086391,69.23076923086391,69.23076923086391,-30.76923076913609,-30.7692307691361,-30.7692307691361,5.551115123125783e-17,0,0.9230769230740828,75,69.23076923055622,0.3076923076913609,0.307692307691361,0.307692307691361,1e-09,1e-09,1e-09,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,75,0.95,15,3,1,1,1,1,2,2,2,1,1,1,3,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0.3076923076913609,0.307692307691361,0.307692307691361,-69.23076923055622,-69.23076923055622,-69.23076923055622,-0.3076923076913609,-0.307692307691361,-0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10,-0.9230769230740828,-69.23076923055622,0.9230769230740828,0,-0.3076923076913609,-0.307692307691361,-0.307692307691361,0,0,0,0.3076923076913609,0.307692307691361,0.307692307691361,3.076923076913609e-10,3.07692307691361e-10,3.07692307691361e-10
