"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.r_int","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.r_load.percentage","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.r_load.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
0,71.4285683674288,0,99.99999714285713,-28.5714316325712,7.142856836714309e-06,-2.857142877571403e-06,0,0,0.2857142734685724,250,0.285714316325712,-7.142856836714309e-08,2.857142877571404e-08,1e-09,1000000000,1000000000,2.85714316325712e-10,-71.42856836714309,28.57142877571404,90,0.9,50,3,1,4,1,1,2,1,1,1,1,1,1,-0.285714316325712,7.142856836714309e-08,-2.857142877571404e-08,0.285714316325712,-7.142856836714309e-08,2.857142877571404e-08,-71.42856836714309,-71.42856836714309,-71.42856836714309,-0.285714316325712,7.142856836714309e-08,-2.857142877571404e-08,2.85714316325712e-10,-71.42856836714309,28.57142877571404,-0.2857142734685724,-71.42856836714309,0.2857142734685724,0,71.42856836714309,-0.285714316325712,7.142856836714309e-08,-2.857142877571404e-08,0,0,0,0.285714316325712,-7.142856836714309e-08,2.857142877571404e-08,2.85714316325712e-10,-71.42856836714309,28.57142877571404
1.004082150757313e-10,71.4285683674288,0,99.99999714285713,-28.5714316325712,7.142856836714309e-06,-2.857142877571403e-06,0,0,0.2857142734685724,250,0.285714316325712,-7.142856836714309e-08,2.857142877571404e-08,1e-09,1000000000,1000000000,2.85714316325712e-10,-71.42856836714309,28.57142877571404,90,0.9,50,3,1,4,1,1,2,1,1,1,1,1,1,-0.285714316325712,7.142856836714309e-08,-2.857142877571404e-08,0.285714316325712,-7.142856836714309e-08,2.857142877571404e-08,-71.42856836714309,-71.42856836714309,-71.42856836714309,-0.285714316325712,7.142856836714309e-08,-2.857142877571404e-08,2.85714316325712e-10,-71.42856836714309,28.57142877571404,-0.2857142734685724,-71.42856836714309,0.2857142734685724,0,71.42856836714309,-0.285714316325712,7.142856836714309e-08,-2.857142877571404e-08,0,0,0,0.285714316325712,-7.142856836714309e-08,2.857142877571404e-08,2.85714316325712e-10,-71.42856836714309,28.57142877571404
1.004082150757313e-10,2.999982484652719e-09,0,2.999982484652719e-09,-99.999999997,199.9999999913333,-99.99999999700002,1.110223024625157e-16,0,2.666677989537902e-11,75,0.99999999997,-1.999999999913333,0.9999999999700001,1e-09,1e-09,1e-09,9.999999999700001e-10,-1.999982484682719e-09,9.999999999700001e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.9999999999700001,0.99999999997,-1.999999999913333,0.9999999999700001,-1.999982484682719e-09,-1.999982484682719e-09,-1.999982484682719e-09,-0.99999999997,1.999999999913333,-0.9999999999700001,9.999999999700001e-10,-1.999982484682719e-09,9.999999999700001e-10,-2.666677989537902e-11,-1.999982484682719e-09,2.666677989537902e-11,0,1.999982484682719e-09,-0.99999999997,1.999999999913333,-0.9999999999700001,0,0,0,0.99999999997,-1.999999999913333,0.9999999999700001,9.999999999700001e-10,-1.999982484682719e-09,9.999999999700001e-10
0.1,3.00001090636215e-09,0,3.000010906362149e-09,-99.999999997,199.9999999913333,-99.99999999699999,-1.110223024625157e-16,0,2.66665578507741e-11,75,0.99999999997,-1.999999999913333,0.9999999999699999,1e-09,1e-09,1e-09,9.999999999700001e-10,-2.00001090639215e-09,9.999999999699999e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.9999999999699999,0.99999999997,-1.999999999913333,0.9999999999699999,-2.00001090639215e-09,-2.00001090639215e-09,-2.00001090639215e-09,-0.99999999997,1.999999999913333,-0.9999999999699999,9.999999999700001e-10,-2.00001090639215e-09,9.999999999699999e-10,-2.66665578507741e-11,-2.00001090639215e-09,2.66665578507741e-11,0,2.00001090639215e-09,-0.99999999997,1.999999999913333,-0.9999999999699999,0,0,0,0.99999999997,-1.999999999913333,0.9999999999699999,9.999999999700001e-10,-2.00001090639215e-09,9.999999999699999e-10
0.2,2.999996695507434e-09,0,2.999996695507434e-09,-99.999999997,199.9999999913333,-99.999999997,0,0,2.666666887307656e-11,75,0.99999999997,-1.999999999913333,0.99999999997,1e-09,1e-09,1e-09,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.99999999997,0.99999999997,-1.999999999913333,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,-2.666666887307656e-11,-1.999996695537434e-09,2.666666887307656e-11,0,1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,0,0,0,0.99999999997,-1.999999999913333,0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10
0.3,2.999996695507434e-09,0,2.999996695507434e-09,-99.999999997,199.9999999913333,-99.999999997,0,0,2.666666887307656e-11,75,0.99999999997,-1.999999999913333,0.99999999997,1e-09,1e-09,1e-09,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.99999999997,0.99999999997,-1.999999999913333,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,-2.666666887307656e-11,-1.999996695537434e-09,2.666666887307656e-11,0,1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,0,0,0,0.99999999997,-1.999999999913333,0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10
0.4,2.999996695507434e-09,0,2.999996695507434e-09,-99.999999997,199.9999999913333,-99.999999997,0,0,2.666666887307656e-11,75,0.99999999997,-1.999999999913333,0.99999999997,1e-09,1e-09,1e-09,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.99999999997,0.99999999997,-1.999999999913333,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,-2.666666887307656e-11,-1.999996695537434e-09,2.666666887307656e-11,0,1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,0,0,0,0.99999999997,-1.999999999913333,0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10
0.5,2.999996695507434e-09,0,2.999996695507434e-09,-99.999999997,199.9999999913333,-99.999999997,0,0,2.666666887307656e-11,75,0.99999999997,-1.999999999913333,0.99999999997,1e-09,1e-09,1e-09,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.99999999997,0.99999999997,-1.999999999913333,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,-2.666666887307656e-11,-1.999996695537434e-09,2.666666887307656e-11,0,1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,0,0,0,0.99999999997,-1.999999999913333,0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10
0.6,2.999996695507434e-09,0,2.999996695507434e-09,-99.999999997,199.9999999913333,-99.999999997,0,0,2.666666887307656e-11,75,0.99999999997,-1.999999999913333,0.99999999997,1e-09,1e-09,1e-09,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.99999999997,0.99999999997,-1.999999999913333,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,-2.666666887307656e-11,-1.999996695537434e-09,2.666666887307656e-11,0,1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,0,0,0,0.99999999997,-1.999999999913333,0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10
0.7,2.999996695507434e-09,0,2.999996695507434e-09,-99.999999997,199.9999999913333,-99.999999997,0,0,2.666666887307656e-11,75,0.99999999997,-1.999999999913333,0.99999999997,1e-09,1e-09,1e-09,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,90,0.9,15,3,1,4,1,1,2,2,2,1,1,1,3,-0.99999999997,1.999999999913333,-0.99999999997,0.99999999997,-1.999999999913333,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10,-2.666666887307656e-11,-1.999996695537434e-09,2.666666887307656e-11,0,1.999996695537434e-09,-0.99999999997,1.999999999913333,-0.99999999997,0,0,0,0.99999999997,-1.999999999913333,0.99999999997,9.999999999700001e-10,-1.999996695537434e-09,9.999999999700001e-10
